Timestamp,Cell_Site_ID,Region,Site_Name,Technology,Availability_Pct,Avg_Throughput_Mbps,Peak_Throughput_Mbps,Latency_ms,Packet_Loss_Pct,Active_Users,Traffic_GB,Alarm_Status,Alarm_Description
2025-03-03 08:00,XFC-NCR-0012,NCR,Makati_CBD_Tower_A,5G,99.85,245.3,512.8,8.2,0.01,3420,1245.6,NORMAL,
2025-03-03 08:00,XFC-NCR-0015,NCR,BGC_Tower_B,5G,99.92,287.1,548.2,7.8,0.02,4150,1567.3,NORMAL,
2025-03-03 08:00,XFC-NCR-0023,NCR,Quezon_City_Hub,4G,98.45,85.6,156.3,18.5,0.05,2890,876.4,WARNING,High traffic load detected
2025-03-03 08:00,XFC-VIS-0045,Visayas,Cebu_Metro_Tower,5G,99.78,198.4,425.6,9.1,0.02,2650,987.2,NORMAL,
2025-03-03 08:00,XFC-VIS-0067,Visayas,Iloilo_City_Site,4G,97.23,62.4,128.7,22.3,0.08,1890,543.1,CRITICAL,Power backup failure - 2 hours remaining
2025-03-03 08:00,XFC-MIN-0034,Mindanao,Davao_Central,5G,99.65,212.8,467.3,8.7,0.01,2340,856.7,NORMAL,
2025-03-03 08:00,XFC-MIN-0056,Mindanao,CDO_Tower_North,4G,96.12,45.2,98.6,28.7,0.12,1560,423.5,CRITICAL,Fiber cut detected - maintenance dispatched
2025-03-03 08:00,XFC-CLZ-0021,Central_Luzon,Clark_Hub_A,4G,99.12,78.9,145.2,15.3,0.03,1980,645.8,NORMAL,
2025-03-03 08:00,XFC-CLZ-0033,Central_Luzon,Pampanga_Tower,4G,98.87,72.3,132.8,16.8,0.04,1750,567.3,WARNING,Temperature threshold approaching
2025-03-03 08:00,XFC-CAL-0019,Calabarzon,Laguna_Technopark,5G,99.91,265.7,534.1,7.5,0.01,3120,1123.4,NORMAL,
2025-03-03 08:00,XFC-CAL-0028,Calabarzon,Cavite_Hub,4G,99.34,82.1,148.9,14.7,0.03,2210,712.6,NORMAL,
2025-03-03 08:00,XFC-NCR-0041,NCR,Manila_Bay_Site,5G,94.56,125.3,289.4,12.4,0.15,3890,1432.1,CRITICAL,Multiple RRU failures - degraded service
